Date,NY Conventional Gasoline Spot Price ($/gal)
2019-01,1.4275
2019-02,1.515
2019-03,1.788
2019-04,2.04
2019-05,1.928
2019-06,1.74
2019-07,1.8925
2019-08,1.718
2019-09,1.725
2019-10,1.72
2019-11,1.732
2019-12,1.7075
2020-01,1.67
2020-02,1.5875
2020-03,0.925
2020-04,0.58
2020-05,0.844
2020-06,1.1175
2020-07,1.212
2020-08,1.2475
2020-09,1.2225
2020-10,1.21
2020-11,1.1925
2020-12,1.345
2021-01,1.536
2021-02,1.7675
2021-03,1.9925
2021-04,1.982
2021-05,2.12
2021-06,2.1625
2021-07,2.248
2021-08,2.2275
2021-09,2.2875
2021-10,2.464
2021-11,2.4225
2021-12,2.194
2022-01,2.4425
2022-02,2.73
2022-03,3.1875
2022-04,3.176
2022-05,3.815
2022-06,4.135
2022-07,3.544
2022-08,3.0725
2022-09,2.652
2022-10,3.0025
2022-11,2.9225
2022-12,2.388
